转债代码,转债名称,上市日期,预测信息日,实际上市收盘价,上市前一日平价,发行规模亿元,正股市值亿元,正股20日波动率,债项评级,申万行业,板块,余额组,市值组,评级组,模型合理价值,规则映射后预测价,规则调整额,预测触及上限,实际触及上限,预测区间下限_80pct,预测区间上限_80pct,区间覆盖,有效分组数,全市场样本数_1日,全市场训练RMSE_1日,年份,平价分组,自动同类样本数,自动同类平均得分,自动同类平均相关系数,自动同类同行业占比,自动同类券,同类残差收益5日_pct,同类残差收益10日_pct,同类溢价变化5日_pct,同类正股超额5日_pct,同类高热度占比,目标正股5日收益_pct,目标正股20日收益_pct,基础预测价,基础预测误差,实际触及157.30,近期20只新券触顶率,近期40只新券触顶率,近期20只基础MAE,距涨幅上限空间,连续题材修正额,连续题材修正预测价,极端状态概率,极端状态修正额,自动题材修正预测价,是否启动极端修正,tmp,动态相似新券触顶率,动态相似新券预测价,组合保护预测价,网上中签率,原股东配售金额元,原股东配售率,ln发行规模,中签热度,相似概率logit,实际触顶
118010.SH,洁特转债,2022-08-02,2022-08-01,125.135,89.96475222890318,4.4,60.903575124,25.907489603852,A+,医药生物,消费,3-10,50-300,A+/A,127.05641250615275,127.05641250615275,0.0,False,False,117.46255282890888,136.65027218339662,True,6.0,320.0,8.266841173967933,2022.0,80-90,7.0,0.6736516522803973,0.5209097696382763,1.0,美诺转债、润达转债、同和转债、科华转债、大参转债、健友转债、正川转债,-0.1261392701346003,-1.1157012706347291,0.6278869975442003,-2.373830648610531,0.1428571428571428,1.7112048757618403,-8.825383483925197,127.05641250615275,1.9214125061527485,False,,,7.817087189654808,30.24358749384725,2.8136099051654178,129.87002241131816,0.0318619272032644,0.0,127.05641250615275,False,127.05641250615275,,127.05641250615275,129.87002241131816,0.0012693291,289074000.0,,1.4816045409242156,6.669266785810723,,False
118011.SH,银微转债,2022-08-02,2022-08-01,128.07,94.9921752738654,5.0,38.9694,45.207870336224,A+,电子,科技,3-10,0-50,A+/A,132.64595442658307,132.64595442658307,0.0,False,False,123.0520947493392,142.23981410382694,True,6.0,320.0,8.266841173967933,2022.0,90-100,7.0,0.7432934216987049,0.5640709026189946,1.0,世运转债、洁美转债、明电转债、兴森转债、利德转债、环旭转债、闻泰转债,-2.320395286784706,-1.846023519659656,-7.754519559526793,6.99418626825985,0.1428571428571428,7.016925246826533,2.2918773171553664,132.64595442658307,4.575954426583081,False,,,7.580699092158133,24.654045573416937,1.5752235386057332,134.22117796518882,0.1133345317852732,0.0,132.64595442658307,False,132.64595442658307,,132.64595442658307,134.22117796518882,0.0018293582,283244000.0,,1.6094379124341003,6.30379008402459,,False
127066.SZ,科利转债,2022-08-03,2022-08-02,133.52,99.15280828365232,15.343705,369.86512458,55.684446206424,AA,电力设备,制造,10-20,300+,AA/AA-,131.6734442859251,131.6734442859251,0.0,False,False,122.07958460868122,141.26730396316896,True,6.0,320.0,7.559083051182042,2022.0,90-100,7.0,0.6419252374205039,0.3993407501902993,1.0,天奈转债、嘉元转债、海优转债、恩捷转债、宏发转债、锦浪转债、隆22转债,0.5890324799298609,0.7251969466771014,-0.3244518079605019,2.98884413823185,0.2857142857142857,1.5032763715790765,-0.9404388714733593,131.6734442859251,-1.846555714074924,False,,,7.569949570926338,25.626555714074925,0.885248520071483,132.55869280599657,0.0005056399630964,0.0,131.6734442859251,False,131.6734442859251,,131.6734442859251,132.55869280599657,0.0037950854,1088607700.0,,2.7307052922002693,5.574048365093931,,False
123152.SZ,润禾转债,2022-08-11,2022-08-10,157.3,141.64673727365903,2.9235,52.604448,97.349188019236,A+,基础化工,周期,0-3,50-300,A+/A,177.64102935815967,157.3,-20.34102935815966,True,True,147.70614032275614,157.3,True,6.0,321.0,9.403936298889343,2022.0,>=120,7.0,0.6426213960688748,0.4381159652568077,1.0,鸿达转债、杭氧转债、锦鸡转债、华通转债、川恒转债、道恩转债、兄弟转债,-0.1725487491564398,0.5679829731179102,0.3800676080600027,0.6889564336372667,0.2857142857142857,27.76579352850539,46.55355249204667,157.3,0.0,True,,,7.258306933207359,0.0,-2.539370719952621,154.7606292800474,0.9724083122805915,0.0,157.3,False,157.3,,157.3,154.7606292800474,0.000604878,218408000.0,,1.0727815286335882,7.4104837731606725,,True
123153.SZ,英力转债,2022-08-11,2022-08-10,143.0,94.0748440748441,3.4,23.892,44.482884552989,A+,电子,科技,3-10,0-50,A+/A,137.28133954862005,137.28133954862005,0.0,False,False,127.68747987137618,146.87519922586392,True,6.0,321.0,9.403936298889343,2022.0,90-100,7.0,0.6779899157877309,0.4597044497848415,1.0,利德转债、晨丰转债、超声转债、捷捷转债、长信转债、胜蓝转债、洁美转债,-0.3820458451171106,-1.524019554351138,-1.323043136577997,3.3667743962653818,0.0,8.44817255841821,-5.778240499739717,137.28133954862005,-5.718660451379947,False,,,7.113895987876603,20.01866045137996,2.619398618129619,139.90073816674968,0.3120095447845772,0.0,137.28133954862005,False,137.28133954862005,,137.28133954862005,139.90073816674968,0.0004853285,280716600.0,,1.2237754316221157,7.6306845767165505,,False
113061.SH,拓普转债,2022-08-12,2022-08-11,147.467,112.14625945643036,25.0,882.188280886,47.239105576876,AA+,汽车,制造,20-50,300+,AAA/AA+,139.85365448560424,139.85365448560424,0.0,False,False,130.25979480836037,149.4475141628481,True,6.0,325.0,8.503188482077482,2022.0,110-120,7.0,0.6889517219691124,0.5825916200706744,1.0,伯特转债、升21转债、亚太转债、今飞转债、文灿转债、银轮转债、美力转债,-0.6617709705927517,-1.5268989109225268,0.3024305563272484,-1.6484937472365235,0.1428571428571428,-2.031575082609227,1.870705013998464,139.85365448560424,-7.613345514395775,False,,,7.1976673040642085,17.446345514395773,0.5672816424783286,140.42093612808256,1.3598601740764848e-06,0.0,139.85365448560424,False,139.85365448560424,,139.85365448560424,140.42093612808256,0.0026421752,2200550000.0,,3.2188758248682006,5.9361527616817,,False
113652.SH,伟22转债,2022-08-12,2022-08-11,128.238,82.16133942161339,14.77,457.268204757,56.296086560565,AA,环保,周期,10-20,300+,AA/AA-,120.87345975070862,120.87345975070862,0.0,False,False,111.27960007346476,130.46731942795248,True,6.0,325.0,8.503188482077482,2022.0,80-90,7.0,0.6377633945423593,0.3855184598717392,1.0,迪龙转债、国祯转债、海环转债、龙净转债、中环转2、绿动转债、盈峰转债,1.275937102407636,1.711588402030043,2.593694429016004,-2.402104536829386,0.4285714285714285,-9.490274983232736,-8.90988862639217,120.87345975070862,-7.36454024929138,False,,,7.024183779343704,36.42654024929139,1.0019444814989151,121.87540423220752,5.588737822986454e-05,0.0,120.87345975070862,False,120.87345975070862,,120.87345975070862,121.87540423220752,0.0008412999,1379320000.0,,2.6925980965432883,7.080562362271177,,False
118014.SH,高测转债,2022-08-12,2022-08-11,142.034,101.22627048697086,4.833,195.67220456,53.196703860791,A+,电力设备,制造,3-10,50-300,A+/A,137.16882007746682,137.16882007746682,0.0,False,False,127.57496040022296,146.7626797547107,True,6.0,325.0,8.503188482077482,2022.0,100-110,7.0,0.6242925330155653,0.4030204292908134,1.0,海优转债、天奈转债、隆22转债、帝尔转债、上22转债、福莱转债、科利转债,0.5103165384101129,1.8117782858970304,0.7998786463679988,2.831537575859677,0.4285714285714285,8.9881934746731,-1.333180094242048,137.16882007746682,-4.865179922533173,False,,,7.06013365359983,20.131179922533192,1.5625912937752635,138.73141137124207,0.0826509333396171,0.0,137.16882007746682,False,137.16882007746682,,137.16882007746682,138.73141137124207,0.001308512,335395000.0,,1.575467392862947,6.638864665229859,,False
113651.SH,松霖转债,2022-08-17,2022-08-16,149.127,91.31483715319663,6.1,60.7128925012,30.279176415418,AA,轻工制造,制造,3-10,50-300,AA/AA-,129.482620170946,129.482620170946,0.0,False,False,119.88876049370214,139.07647984818988,False,6.0,331.0,8.549907690333391,2022.0,90-100,7.0,0.7723168683255087,0.6474526797924531,1.0,嘉美转债、翔港转债、景兴转债、东风转债、鹰19转债、山鹰转债、合兴转债,-0.6180677699519009,0.5336833840916988,-0.5071603291744999,0.6628975295437822,0.0,0.3978779840848823,-12.027890761185356,129.482620170946,-19.644379829054003,False,0.125,,7.247092928455098,27.817379829054005,2.528109536618682,132.01072970756468,0.0415268926308396,0.0,129.482620170946,False,129.482620170946,,129.482620170946,132.01072970756468,0.0003775006,566127000.0,,1.8082887711792655,7.881938399872484,,False
118015.SH,芯海转债,2022-08-18,2022-08-17,143.543,98.32142857142856,4.1,76.9994465604,62.79855829368,A+,电子,科技,3-10,50-300,A+/A,140.17969664507677,140.17969664507677,0.0,False,False,129.97408763776627,150.38530565238727,True,6.0,332.0,8.494588216480093,2022.0,90-100,7.0,0.8127728338188643,0.7161685525255808,1.0,洁美转债、银微转债、捷捷转债、利德转债、富瀚转债、聚飞转债、明电转债,0.8720294489931603,0.6661317583334146,1.726967494558501,-3.54075694204622,0.0,-4.343293954134819,1.981848490461191,140.17969664507677,-3.3633033549232323,False,0.1111111111111111,,8.190929238152505,17.120303354923237,0.545289239241491,140.72498588431827,0.3749960242177724,0.0,140.17969664507677,False,140.17969664507677,,140.17969664507677,140.72498588431827,0.0011987649,263793000.0,,1.410986973710262,6.7264635022296915,,False
