logit_l2,ridge_alpha,probability_weight,prob_cal_window,price_cal_window
0.3,0.1,0.0,0,0
0.3,0.1,0.0,0,20
0.3,0.1,0.0,0,40
0.3,0.1,0.0,0,60
0.3,0.1,0.05,0,0
0.3,0.1,0.05,0,20
0.3,0.1,0.05,0,40
0.3,0.1,0.05,0,60
0.3,0.1,0.1,0,0
0.3,0.1,0.1,0,20
0.3,0.1,0.1,0,40
0.3,0.1,0.1,0,60
0.3,0.1,0.15,0,0
0.3,0.1,0.15,0,20
0.3,0.1,0.15,0,40
0.3,0.1,0.15,0,60
0.3,0.1,0.2,0,0
0.3,0.1,0.2,0,20
0.3,0.1,0.2,0,40
0.3,0.1,0.2,0,60
0.3,0.1,0.25,0,0
0.3,0.1,0.25,0,20
0.3,0.1,0.25,0,40
0.3,0.1,0.25,0,60
0.3,0.1,0.3,0,0
0.3,0.1,0.3,0,20
0.3,0.1,0.3,0,40
0.3,0.1,0.3,0,60
0.3,0.1,0.35,0,0
0.3,0.1,0.35,0,20
0.3,0.1,0.35,0,40
0.3,0.1,0.35,0,60
0.3,0.1,0.4,0,0
0.3,0.1,0.4,0,20
0.3,0.1,0.4,0,40
0.3,0.1,0.4,0,60
0.3,0.1,0.45,0,0
0.3,0.1,0.45,0,20
0.3,0.1,0.45,0,40
0.3,0.1,0.45,0,60
0.3,0.1,0.5,0,0
0.3,0.1,0.5,0,20
0.3,0.1,0.5,0,40
0.3,0.1,0.5,0,60
0.3,0.1,0.55,0,0
0.3,0.1,0.55,0,20
0.3,0.1,0.55,0,40
0.3,0.1,0.55,0,60
0.3,0.1,0.6,0,0
0.3,0.1,0.6,0,20
0.3,0.1,0.6,0,40
0.3,0.1,0.6,0,60
0.3,0.1,0.65,0,0
0.3,0.1,0.65,0,20
0.3,0.1,0.65,0,40
0.3,0.1,0.65,0,60
0.3,0.1,0.69,0,0
0.3,0.1,0.69,0,20
0.3,0.1,0.69,0,40
0.3,0.1,0.69,0,60
0.3,0.1,0.7,0,0
0.3,0.1,0.7,0,20
0.3,0.1,0.7,0,40
0.3,0.1,0.7,0,60
0.3,0.1,0.75,0,0
0.3,0.1,0.75,0,20
0.3,0.1,0.75,0,40
0.3,0.1,0.75,0,60
0.3,0.1,0.8,0,0
0.3,0.1,0.8,0,20
0.3,0.1,0.8,0,40
0.3,0.1,0.8,0,60
0.3,0.1,0.85,0,0
0.3,0.1,0.85,0,20
0.3,0.1,0.85,0,40
0.3,0.1,0.85,0,60
0.3,0.1,0.9,0,0
0.3,0.1,0.9,0,20
0.3,0.1,0.9,0,40
0.3,0.1,0.9,0,60
0.3,0.1,0.95,0,0
0.3,0.1,0.95,0,20
0.3,0.1,0.95,0,40
0.3,0.1,0.95,0,60
0.3,0.1,1.0,0,0
0.3,0.1,1.0,0,20
0.3,0.1,1.0,0,40
0.3,0.1,1.0,0,60
0.3,1.0,0.0,0,0
0.3,1.0,0.0,0,20
0.3,1.0,0.0,0,40
0.3,1.0,0.0,0,60
0.3,1.0,0.05,0,0
0.3,1.0,0.05,0,20
0.3,1.0,0.05,0,40
0.3,1.0,0.05,0,60
0.3,1.0,0.1,0,0
0.3,1.0,0.1,0,20
0.3,1.0,0.1,0,40
0.3,1.0,0.1,0,60
0.3,1.0,0.15,0,0
0.3,1.0,0.15,0,20
0.3,1.0,0.15,0,40
0.3,1.0,0.15,0,60
0.3,1.0,0.2,0,0
0.3,1.0,0.2,0,20
0.3,1.0,0.2,0,40
0.3,1.0,0.2,0,60
0.3,1.0,0.25,0,0
0.3,1.0,0.25,0,20
0.3,1.0,0.25,0,40
0.3,1.0,0.25,0,60
0.3,1.0,0.3,0,0
0.3,1.0,0.3,0,20
0.3,1.0,0.3,0,40
0.3,1.0,0.3,0,60
0.3,1.0,0.35,0,0
0.3,1.0,0.35,0,20
0.3,1.0,0.35,0,40
0.3,1.0,0.35,0,60
0.3,1.0,0.4,0,0
0.3,1.0,0.4,0,20
0.3,1.0,0.4,0,40
0.3,1.0,0.4,0,60
0.3,1.0,0.45,0,0
0.3,1.0,0.45,0,20
0.3,1.0,0.45,0,40
0.3,1.0,0.45,0,60
0.3,1.0,0.5,0,0
0.3,1.0,0.5,0,20
0.3,1.0,0.5,0,40
0.3,1.0,0.5,0,60
0.3,1.0,0.55,0,0
0.3,1.0,0.55,0,20
0.3,1.0,0.55,0,40
0.3,1.0,0.55,0,60
0.3,1.0,0.6,0,0
0.3,1.0,0.6,0,20
0.3,1.0,0.6,0,40
0.3,1.0,0.6,0,60
0.3,1.0,0.65,0,0
0.3,1.0,0.65,0,20
0.3,1.0,0.65,0,40
0.3,1.0,0.65,0,60
0.3,1.0,0.69,0,0
0.3,1.0,0.69,0,20
0.3,1.0,0.69,0,40
